nome,nicho,cidade,telefone,redes_sociais,avaliacao,n_avaliacoes,prioridade,site_confirmado,status,observacoes,origem
Viva Odonto,Odontologia,Goiânia,+55 62 99983-9130,@vivaodonto.goiania,,,Alta,Não,a_contatar,"Sem site próprio confirmado via busca (apenas Instagram). Setor Goiânia Viva.",pesquisa_web
Plena Saúde e Beleza,Estética,Anápolis,+55 62 99655-0988,@plena.saudebeleza,,,Alta,Não,a_contatar,"Clínica ativa desde 2005 (Plena Clínica Integrada de Medicina e Estética Ltda), Rua Barão do Rio Branco 573, Centro. Sem site próprio confirmado.",pesquisa_web
Spallitá,Estética,Anápolis,+55 62 99314-3551,@spallita,,,Alta,Não,a_contatar,"Telefone fixo também: (62) 3706-1445. Sem site próprio confirmado (só Facebook/Instagram).",pesquisa_web
Marfim Ambientes,Marcenaria/Móveis planejados,Goiânia,+55 62 98643-0412,@marfimambientes,,,Alta,Não,a_contatar,"Móveis planejados alto padrão, atua em Goiânia/Aparecida de Goiânia. Sem site próprio confirmado.",pesquisa_web
C&A Marmoraria,Marmoraria,Anápolis,+55 62 99306-3063,,,,Alta,Não,a_contatar,"Bairro de Lourdes/Centro. Só aparece em diretórios + WhatsApp, sem site próprio.",pesquisa_web
Marmoraria Anapolina,Marmoraria,Anápolis,+55 62 99297-4237,@marmorariaanapolina,,,Alta,Não,a_contatar,"Mais de 20 anos no mercado, CNPJ ativo. Sem site próprio confirmado (Facebook/Instagram).",pesquisa_web
Marmoraria Brasil,Marmoraria,Anápolis,+55 62 3771-3495,@marmorariabrasill1,,,Alta,Não,a_contatar,"Av. Pedro Ludovico, 3049. Sem site próprio confirmado, só Instagram.",pesquisa_web
Marceneiro Goiânia,Marcenaria,Goiânia,+55 62 99232-8423,,,,Média,A verificar,a_contatar,"Mais de 30 anos no ramo. Site atual é uma página gratuita do Google Sites (sites.google.com) — conta como site de baixo nível, não site profissional.",pesquisa_web
Recanto Santa Cecília Eventos,Buffet/Eventos,Anápolis,+55 62 99980-0221,@recantosantacecilia,,,Média,Não,a_contatar,"Espaço para eventos. Sem site próprio confirmado, só Instagram.",pesquisa_web
Celebrare Casa de Eventos,Buffet/Eventos,Anápolis,+55 62 99182-2474,@celebrarecasadeventos,,,Média,Não,a_contatar,"Aluguel de espaço para festas/eventos. Sem site próprio confirmado, só Instagram.",pesquisa_web
